不良贷款控制,个人不良贷款,个人不良贷款控制计划完成率
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金缴存客户数计划完成率
效益,零售板块营业净收入,账面口径零售营业净收入
效益,零售板块营业净收入,银联调整项
效益,零售板块营业净收入,考核口径零售营业净收入
效益,零售板块营业净收入,考核口径零售营业净收入_上年同期
效益,零售板块营业净收入,考核口径零售营业净收入增量
效益,零售板块营业净收入,考核口径零售营业净收入增长率
效益,零售板块营业净收入,考核口径零售营业净收入计划
效益,零售板块营业净收入,考核口径零售营业净收入计划完成率
效益,零售板块营业净收入,零售营收占比
效益,零售板块营业净收入,全行营业净收入
效益,零售板块营业净收入,考核口径零售营业净收入_上年末
效益,零售板块营业净收入,全行营业净收入_上年末
效益,零售板块营业净收入,零售营收占比提升
效益,零售板块营业净收入,个人存款成本率
效益,零售板块营业净收入,个人存款成本率市场均值
效益,零售板块营业净收入,个人存款成本率系数
效益,零售板块营业净收入,个人存款成本率变动
效益,零售板块营业净收入,个人存款成本率变动市场均值
效益,零售板块营业净收入,个人存款成本率变动系数
效益,零售板块营业净收入,量价平衡修正系数
效益,零售轻资本业务收入,中收（账面口径）
效益,零售轻资本业务收入,CBI双算（中收）
效益,零售轻资本业务收入,结构性存款平盘成本
效益,零售轻资本业务收入,e管家引流项目调整
效益,零售轻资本业务收入,个贷中收（账面）
效益,零售轻资本业务收入,考核口径中收
效益,零售轻资本业务收入,考核口径中收计划
效益,零售轻资本业务收入,考核口径中收计划完成率
效益,零售轻资本业务收入,考核口径上年同期中收
效益,零售轻资本业务收入,考核口径中收增长率
效益,零售轻资本业务收入,代理保险业务收入
效益,零售轻资本业务收入,保险中收计划
效益,零售轻资本业务收入,保险中收计划完成率
新客户“五主”基础动作,网申信用卡进店核验客户贷发借转化率,网申信用卡进店核验客户贷发借转化客户
新客户“五主”基础动作,网申信用卡进店核验客户贷发借转化率,网申信用卡进店核验累计客户数
新客户“五主”基础动作,网申信用卡进店核验客户贷发借转化率,网申信用卡进店核验客户贷发借转化率
新客户“五主”基础动作,新客户“一户六开两推”,新客户数
新客户“五主”基础动作,新客户“一户六开两推”,千元入金客户数
新客户“五主”基础动作,新客户“一户六开两推”,千元入金率
新客户“五主”基础动作,新客户“一户六开两推”,简单产品转化客户数
新客户“五主”基础动作,新客户“一户六开两推”,简单产品转化率
新客户“五主”基础动作,新客户“一户六开两推”,手机APP下载登录客户数
新客户“五主”基础动作,新客户“一户六开两推”,手机APP下载登录率
新客户“五主”基础动作,新客户“一户六开两推”,企业微信认证客户数
新客户“五主”基础动作,新客户“一户六开两推”,企业微信认证率
新客户“五主”基础动作,新客户“一户六开两推”,官微关注且绑卡客户数
新客户“五主”基础动作,新客户“一户六开两推”,官微关注且绑卡率
新客户“五主”基础动作,新客户“一户六开两推”,移动支付签约交易客户数
新客户“五主”基础动作,新客户“一户六开两推”,移动支付签约交易率
新客户“五主”基础动作,新客户“一户六开两推”,信用卡持有及借贷关联签约客户数
新客户“五主”基础动作,新客户“一户六开两推”,信用卡持有及借贷关联签约率
新客户“五主”基础动作,新客户“一户六开两推”,信秒贷签约客户数
新客户“五主”基础动作,新客户“一户六开两推”,信秒贷签约率
新客户“五主”基础动作,新客户“一户六开两推”,缴费通签约客户数
新客户“五主”基础动作,新客户“一户六开两推”,缴费通签约率
新客户“五主”基础动作,新客户“一户六开两推”,个人养老金账户开通客户数
新客户“五主”基础动作,新客户“一户六开两推”,个人养老金账户开通率
新客户“五主”基础动作,信用卡新客户“一户三绑”,信用卡新客户
新客户“五主”基础动作,信用卡新客户“一户三绑”,信用卡新客企微添加认证客户数
